lid,aid,n,tasa
68,276,11,0.0909
23,176,7,0.4286
5,158,3,0.3333
68,300,1,1.0000
6,158,6,0.1667
23,163,6,1.0000
68,312,1,1.0000
6,148,2,0.5000
141,189,85,0.7882
32,94,57,0.7368
23,293,3,1.0000
189,245,9,1.0000
12,94,33,0.9394
156,274,48,0.9583
22,43,9,0.0000
6,272,370,0.1649
9,312,13,0.3077
22,41,9,0.1111
6,276,333,0.4895
6,177,14,0.0714
19,272,1,0.0000
68,189,11,1.0000
81,184,1,1.0000
9,70,5,0.0000
68,279,4,0.0000
143,253,1,1.0000
39,184,60,0.6500
35,26,49,0.2245
68,303,4,1.0000
32,270,1,0.0000
23,201,9,0.5556
12,312,10,1.0000
101,201,4,1.0000
175,309,1,1.0000
9,158,2,0.0000
18,279,199,0.4824
100,209,2,1.0000
68,270,9,0.4444
6,279,306,0.1013
39,118,11,0.8182
6,14,1,1.0000
161,276,12,0.1667
77,94,969,0.9866
12,112,4,1.0000
147,258,3,1.0000
6,43,49,0.2041
96,196,155,1.0000
100,41,9,0.0000
32,177,1,0.0000
23,206,3,1.0000
75,112,4,1.0000
100,201,1,0.0000
68,244,6,1.0000
6,270,214,0.7570
68,272,6,0.3333
117,207,1,1.0000
24,189,73,1.0000
145,255,5,1.0000
39,287,47,1.0000
68,246,1,1.0000
68,70,1,1.0000
11,70,6,0.3333
17,279,836,0.5108
23,290,2,1.0000
76,180,1,1.0000
26,276,33,0.2121
68,41,2,0.5000
68,211,118,1.0000
140,196,1,1.0000
39,237,151,0.8477
9,279,43,0.2326
19,312,1,1.0000
6,318,1,0.0000
39,177,72,0.8194
12,276,32,0.9688
68,174,1,1.0000
6,95,1,0.0000
7,43,1,0.0000
100,270,6,0.0000
160,314,6,1.0000
39,178,4,1.0000
100,177,7,0.0000
153,270,377,0.9973
68,153,2,1.0000
39,144,18,1.0000
6,70,77,0.7792
100,43,7,0.0000
68,210,113,1.0000
68,184,3,0.0000
68,43,1,0.0000
6,237,132,0.6439
12,300,68,1.0000
154,271,78,1.0000
68,237,1,0.0000
94,91,173,0.9942
32,43,2,0.0000
100,272,27,0.0000
6,153,2,0.5000
6,150,11,0.8182
23,189,369,0.9892
160,322,6,1.0000
100,94,52,0.0192
39,312,24,0.0833
60,154,3,1.0000
5,41,3,0.0000
62,158,309,0.9968
179,313,1,0.0000
150,260,85,1.0000
142,189,269,0.9628
6,89,8,0.5000
6,191,3050,0.2977
160,298,13,1.0000
123,26,6,0.6667
9,272,81,0.2469
163,281,8,1.0000
9,153,179,1.0000
5,43,2,0.0000
166,26,551,0.9365
23,237,126,0.9683
9,189,5,0.4000
176,309,4,1.0000
100,266,1,0.0000
158,158,1,1.0000
23,169,4,1.0000
160,277,1,1.0000
170,300,3,1.0000
49,276,1,0.0000
23,184,24,0.9167
68,201,2,1.0000
68,284,3,1.0000
8,89,2,0.0000
21,26,2,1.0000
9,94,10,0.4000
151,266,60,1.0000
9,184,5,0.8000
126,217,1,1.0000
39,43,77,0.7273
23,123,2,1.0000
39,42,4,1.0000
6,26,10469,0.2925
39,41,76,0.7632
181,189,18,1.0000
19,26,469,0.8806
11,272,222,0.1667
6,312,56,0.2679
68,311,4,1.0000
100,276,45,0.0000
68,177,3,0.0000
12,272,66,0.9848
23,179,1,1.0000
6,123,1,0.0000
164,283,1060,1.0000
36,26,159,0.2767
6,184,44,0.4773
9,77,3,1.0000
100,191,571,0.0280
155,272,16,1.0000
23,287,9,1.0000
152,81,20,1.0000
6,94,4282,0.6357
6,91,5,1.0000
23,256,5,1.0000
160,319,12,1.0000
5,191,34,0.2353
19,270,9,0.8889
172,305,7,1.0000
23,238,3,1.0000
19,70,1,1.0000
46,91,70,1.0000
6,41,58,0.3276
168,297,11,1.0000
5,217,12,1.0000
11,158,2,0.0000
23,26,4525,0.8972
162,279,617,0.9757
23,294,4,1.0000
12,205,2,1.0000
68,209,347,1.0000
39,26,3543,0.8208
100,311,2,1.0000
100,279,6,0.0000
6,315,1,1.0000
187,279,31,1.0000
167,81,90,1.0000
100,312,6,0.0000
12,303,5,1.0000
139,189,832,1.0000
39,197,4,1.0000
39,94,1241,0.7002
24,237,30,0.9667
100,237,4,0.0000
68,287,1,1.0000
5,118,1,0.0000
6,176,38,0.3947
23,312,11,0.9091
5,26,407,0.0172
39,14,1,1.0000
68,94,99,0.8687
24,26,525,0.9010
9,270,204,0.8627
179,-1,1,0.0000
68,-1,755,0.9404
181,-1,18,1.0000
96,-1,155,1.0000
162,-1,617,0.9757
35,-1,49,0.2245
6,-1,19531,0.3767
170,-1,3,1.0000
176,-1,4,1.0000
39,-1,5333,0.7887
163,-1,8,1.0000
168,-1,11,1.0000
101,-1,4,1.0000
175,-1,1,1.0000
36,-1,159,0.2767
60,-1,3,1.0000
167,-1,90,1.0000
158,-1,1,1.0000
22,-1,18,0.0556
156,-1,48,0.9583
155,-1,16,1.0000
62,-1,309,0.9968
75,-1,4,1.0000
123,-1,6,0.6667
126,-1,1,1.0000
166,-1,551,0.9365
11,-1,230,0.1696
189,-1,9,1.0000
117,-1,1,1.0000
161,-1,12,0.1667
142,-1,269,0.9628
152,-1,20,1.0000
46,-1,70,1.0000
153,-1,377,0.9973
147,-1,3,1.0000
32,-1,61,0.6885
7,-1,1,0.0000
9,-1,550,0.7309
100,-1,746,0.0282
150,-1,85,1.0000
140,-1,1,1.0000
139,-1,832,1.0000
12,-1,220,0.9818
26,-1,33,0.2121
187,-1,31,1.0000
164,-1,1060,1.0000
24,-1,628,0.9156
81,-1,1,1.0000
19,-1,481,0.8794
160,-1,38,1.0000
77,-1,969,0.9866
172,-1,7,1.0000
141,-1,85,0.7882
94,-1,173,0.9942
154,-1,78,1.0000
21,-1,2,1.0000
49,-1,1,0.0000
17,-1,836,0.5108
76,-1,1,1.0000
5,-1,462,0.0606
18,-1,199,0.4824
145,-1,5,1.0000
143,-1,1,1.0000
23,-1,5113,0.9053
151,-1,60,1.0000
8,-1,2,0.0000
